Pozicija,Komanda,Zaista,Laimeta,Pralaimeta,Laimeta_namie,Pralaimeta_namie,Vidut_tasku_per_rungtyne,Varzovu_vid_tasku,vidutinis_skirtumas,Laimeta_is_eiles,Laimeta_%
1,Madrido Real,30,24,6,13,2,88.6,80.6,8,+2,80
2,Barselonos FC Barcelona,30,20,10,14,2,82.7,78.6,4,-1,66.7
3,Atėnų Panathinaikos,30,19,11,12,3,81.3,77.1,4.2,+1,63.3
4,Stambulo Fenerbahce,30,19,11,14,1,85.1,81.3,3.8,+4,63.3
5,Monako Monaco,30,19,11,10,4,82.0,79.5,2.6,-1,63.3
6,Pirėjo Olympiakos,30,18,12,11,4,78.6,75.0,3.6,-1,60
7,Tel Avivo Maccabi,30,17,13,11,4,87.3,87.2,0.1,+4,56.7
8,Bolonijos Virtus,30,17,13,12,3,80.1,81.5,-1.3,-3,56.7
9,Vitorijos Baskonia,30,16,14,10,6,84.1,83.7,0.3,-1,53.3
10,Belgrado Partizan,30,14,16,11,3,83.5,84.2,-0.7,+1,46.7
11,Valensijos Basket,30,14,16,9,7,76.3,77.9,-1.7,+1,46.7
12,Milano Emporio Armani,30,13,17,10,5,77.8,77.5,0.3,+1,43.3
13,Stambulo Anadolu Efes,30,13,17,11,4,85.4,87.2,-1.9,+1,43.3
14,Miuncheno Bayern,30,13,17,9,5,78.7,81.4,-2.7,-1,43.3
15,Kauno Žalgiris,30,12,18,7,7,79.8,80.7,-1,+1,40
16,Belgrado Crvena Zvezda,30,10,20,7,8,81.2,81.5,-0.3,-6,33.3
17,Vilerbano ASVEL,30,7,23,4,11,78.6,86.0,-7.4,-1,23.3
18,Berlyno ALBA,30,5,25,4,12,76.0,85.9,-9.9,-7,16.7
