Komanda,Zaidejo_numeris,Zaidejas,Pozicija,Zaistos_rungtynes,Minutes,Ivarciai,Rez_perdavima,Geltonos_korteles,Raudonos_korteles
Telšių „Džiugas“,97.,Ivans Baturins,Vartininkas,0,0,(0),0,0,0
Telšių „Džiugas“,99.,Vykintas Gaudiešius,Vartininkas,0,0,(0),0,0,0
Telšių „Džiugas“,1.,Marius Paukštė,Vartininkas,4,360,(0),0,0,0
Telšių „Džiugas“,30.,Džiugas Aleksa,Gynėjas,4,253,0,0,0,0
Telšių „Džiugas“,2.,Orlandas Jakas,Gynėjas,0,0,0,0,0,0
Telšių „Džiugas“,23.,Jurgis Jankauskas,Gynėjas,0,0,0,0,0,0
Telšių „Džiugas“,62.,Sergij Kulynyč,Gynėjas,4,223,0,0,0,0
Telšių „Džiugas“,4.,Arnas Martinkus,Gynėjas,0,0,0,0,0,0
Telšių „Džiugas“,3.,Miroslav Puškarov,Gynėjas,4,360,0,0,1,0
Telšių „Džiugas“,13.,Tomas Rapalavičius,Gynėjas,4,305,0,0,0,0
Telšių „Džiugas“,24.,Dejan Trajkovski,Gynėjas,4,118,0,0,0,0
Telšių „Džiugas“,33.,Lukas Ankudinovas,Saugas,3,190,0,0,1,0
Telšių „Džiugas“,17.,Eridanas Bagužas,Saugas,4,270,0,0,1,0
Telšių „Džiugas“,20.,Christian Bella,Saugas,3,186,0,1,0,0
Telšių „Džiugas“,10.,David Brazao,Saugas,4,264,0,0,2,0
Telšių „Džiugas“,6.,Tomas Dombrauskis,Saugas,4,277,0,0,0,0
Telšių „Džiugas“,5.,Joaquim Domingos,Saugas,0,0,0,0,0,0
Telšių „Džiugas“,11.,Leif Estevez,Saugas,4,344,0,0,1,0
Telšių „Džiugas“,18.,Emilis Gasiūnas,Saugas,4,265,0,0,2,0
Telšių „Džiugas“,14.,Gvidas Girdvainis,Saugas,4,11,0,0,0,0
Telšių „Džiugas“,8.,Dominykas Kubilinskas,Saugas,4,335,0,0,1,0
Telšių „Džiugas“,16.,Airimas Pilipavičius,Saugas,0,0,0,0,0,0
Telšių „Džiugas“,77.,Aurimas Stulga,Saugas,1,1,0,0,0,0
Telšių „Džiugas“,7.,Martynas Vasiliauskas,Saugas,0,0,0,0,0,0
Telšių „Džiugas“,19.,Nino Noordanus,Puolėjas,3,202,2,0,1,0
Telšių „Džiugas“,9.,Mantas Pikčiūnas,Puolėjas,0,0,0,0,0,0
Vilniaus „Žalgiris“,56.,Joris Aliukonis,Vartininkas,0,0,(0),0,0,0
Vilniaus „Žalgiris“,1.,Dušan Markovič,Vartininkas,0,0,(0),0,0,0
Vilniaus „Žalgiris“,96.,Arpad Tordai,Vartininkas,4,360,(7),0,0,0
Vilniaus „Žalgiris“,7.,Joel Bopesu,Gynėjas,4,360,1,1,1,0
Vilniaus „Žalgiris“,18.,Myroslav Mazur,Gynėjas,0,0,0,0,0,0
Vilniaus „Žalgiris“,45.,Joris Moutachy,Gynėjas,4,345,0,0,0,0
Vilniaus „Žalgiris“,41.,Martynas Šetkus,Gynėjas,1,15,0,0,0,0
Vilniaus „Žalgiris“,26.,Younn Zahary,Gynėjas,4,360,0,0,0,0
Vilniaus „Žalgiris“,80.,Liviu Antal,Saugas,3,126,2,0,0,0
Vilniaus „Žalgiris“,99.,Leandro Fernandes,Saugas,2,47,0,0,0,0
Vilniaus „Žalgiris“,2.,Adama Fofana,Saugas,3,180,1,0,1,0
Vilniaus „Žalgiris“,10.,Paulius Golubickas,Saugas,4,338,0,3,0,0
Vilniaus „Žalgiris“,8.,Yukiyoshi Karashima,Saugas,4,360,0,0,1,0
Vilniaus „Žalgiris“,77.,Jurij Kendyš,Saugas,4,360,0,0,0,0
Vilniaus „Žalgiris“,17.,Giedrius Matulevičius,Saugas,4,337,3,1,0,0
Vilniaus „Žalgiris“,71.,Nemanja Mihajlovič,Saugas,1,3,0,0,0,0
Vilniaus „Žalgiris“,21.,Ben Traore,Saugas,0,0,0,0,0,0
Vilniaus „Žalgiris“,22.,Ovidijus Verbickas,Saugas,4,360,1,1,0,0
Vilniaus „Žalgiris“,15.,Armin Hodžič,Puolėjas,1,26,1,0,0,0
Vilniaus „Žalgiris“,23.,Romualdas Jansonas,Puolėjas,3,79,0,0,0,0
Vilniaus „Žalgiris“,44.,Patrik Matyžonok,Puolėjas,1,8,0,0,0,0
Vilniaus „Žalgiris“,19.,Meinardas Mikulėnas,Puolėjas,2,118,0,0,1,0
Vilniaus „Žalgiris“,11.,Nikola Petkovič,Puolėjas,4,178,0,1,0,0
Kauno rajono „Hegelmann“,22.,Arijus Bražinskas,Vartininkas,0,0,(0),0,0,0
